percentile,year,wealth_family
57,1998,143871.9
57,2001,163164.7
57,2004,173547.4
57,2007,198403.9
57,2010,129323.5
57,2013,126619.6
57,2016,145000
58,1963,56921.54445362038
58,1983,115228.3
58,1989,133035.8
58,1992,119876.9
58,1995,124654
58,1998,149168.8
58,2001,170846.7
58,2004,183607.2
58,2007,208442.7
58,2010,136508.1
58,2013,134043.6
58,2016,152300
59,1963,60551.81644335024
59,1983,118939.6
59,1989,137831.1
59,1992,126954.1
59,1995,129085.7
59,1998,156014.9
59,2001,180601.6
59,2004,190767.3
59,2007,219374.4
59,2010,144278.6
59,2013,144870.2
59,2016,160401
60,1963,62225.4381201241
60,1983,123254.6
60,1989,144772.1
60,1992,131985.3
60,1995,136367.7
60,1998,162890.5
60,2001,188934
60,2004,196871.9
60,2007,229171.2
60,2010,153088
60,2013,152191
60,2016,170000
61,1963,64071.344381271745
61,1983,127873.9
61,1989,151657.1
61,1992,137536.4
61,1995,141692.1
61,1998,169338.3
61,2001,198350.2
61,2004,203357.9
61,2007,241098.7
61,2010,159941.1
61,2013,160738.9
61,2016,179400
62,1963,67843.14617488344
62,1983,132770.9
62,1989,157851.8
62,1992,145150.3
62,1995,146969.5
62,1998,176317.2
62,2001,208105.1
62,2004,212514.8
62,2007,250131.3
62,2010,169668
62,2013,168998
62,2016,188200
63,1963,69535.21659040826
63,1983,138621.6
63,1989,165184.6
63,1992,149929.9
63,1995,152217.2
63,1998,182587.9
63,2001,218456.2
63,2004,221684.3
63,2007,261132.4
63,2010,177184.2
63,2013,178535.8
63,2016,197200
64,1963,72248.69879429531
64,1983,145544.5
64,1989,172592.1
64,1992,156319.6
64,1995,158166.5
64,1998,189566.8
64,2001,230311.1
64,2004,234898.1
64,2007,272828.3
64,2010,186413.7
64,2013,189001.5
64,2016,206940
65,1963,76045.11267138898
65,1983,150943.7
65,1989,181342.9
65,1992,163564.5
65,1995,163929.3
65,1998,199039.2
65,2001,240621.5
65,2004,246980.1
65,2007,282312.5
65,2010,197411.7
65,2013,199023.8
65,2016,220900
66,1963,78684.75862483011
66,1983,155637.8
66,1989,188638.5
66,1992,170692
66,1995,170929.4
66,1998,209072.3
66,2001,252679.7
66,2004,260588.1
66,2007,292283
66,2010,209183.5
66,2013,208592.5
66,2016,229500
67,1963,82013.54291576637
67,1983,161454.8
67,1989,193676.3
67,1992,177903.4
67,1995,177271.7
67,1998,219016.9
67,2001,266661.8
67,2004,276688.9
67,2007,304210.5
67,2010,221176.3
67,2013,219233.5
67,2016,240900
68,1963,85563.82563417983
68,1983,168085.5
68,1989,203322.8
68,1992,183806.7
68,1995,184631.9
68,1998,229404.1
68,2001,276525.1
68,2004,289966.3
68,2007,320445.9
68,2010,234108.6
68,2013,228286.6
68,2016,253300
69,1963,87378.96679097501
69,1983,176169.8
69,1989,211028.8
69,1992,190850.4
69,1995,193025.7
69,1998,239319.2
69,2001,293731.7
69,2004,301793.9
69,2007,332929.3
69,2010,245615.1
69,2013,240556.7
69,2016,266680
70,1963,91378.43035679492
70,1983,183498.3
70,1989,218305.6
70,1992,197223.3
70,1995,200605.2
70,1998,248570.3
70,2001,310260.9
70,2004,319611.5
70,2007,347751.9
70,2010,259973.3
70,2013,254590
70,2016,279000
71,1963,95174.83391002806
71,1983,191952.1
71,1989,226608.7
71,1992,206950.3
71,1995,207761.8
71,1998,260860.9
71,2001,325164.3
71,2004,331997.4
71,2007,362192.3
71,2010,274287.3
71,2013,265994.1
71,2016,295250
72,1963,98109.82486525283
72,1983,200608.7
72,1989,238774.1
72,1992,215167.9
72,1995,220806.6
72,1998,272517
72,2001,340203.1
72,2004,355221.4
72,2007,377744.5
72,2010,287496
72,2013,279367.5
72,2016,311500
73,1963,102392.32739111537
73,1983,207459.2
73,1989,248569.9
73,1992,224224.1
73,1995,229106.5
73,1998,284025.6
73,2001,353074.2
73,2004,375620.8
73,2007,391177.5
73,2010,300428.3
73,2013,293555.5
73,2016,324800
74,1963,106305.61769316682
74,1983,215299.6
74,1989,265885.1
74,1992,237003.3
74,1995,241947.7
74,1998,296124.3
74,2001,367029.2
74,2004,397431.9
74,2007,411674.3
74,2010,315681.9
74,2013,309434.5
74,2016,344000
